Resource Type,Region,Identifier,Nukable
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/aws-iot-role-cloudwatch-logs_1781118057,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSGlueServiceRole-S3,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/aws-iot-role-s3PutObject_-2010812469,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-711eb740-fb01-459c-bcf8-dbb0d127c007,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AwsGlueDataBrewServicePolicyForInputS3-ETL,-
iam-policy,global,arn:aws:iam::695020642224:policy/rds-read-from-s3,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSGlueServiceRole-telemetry-dynamo-EZCRC-dynamoDBPolicy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-db657b96-ae62-456d-a662-12f307103192,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSGlueServiceRole-telemetry_dynamo_crawler-EZCRC-dynamoDBPolicy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-f295fdc7-1675-471f-96a9-bbaafdc9e921,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/CodeBuildS3ReadOnlyPolicy-sara-wearkinetic-com-kinetic-seedJob-us-east-2,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaVPCAccessExecutionRole-47ff99a4-0ac9-4009-ac67-5cd6f5c269b8,-
iam-policy,global,arn:aws:iam::695020642224:policy/gitlab-ci-terraform-lambda,-
iam-policy,global,arn:aws:iam::695020642224:policy/us-main-elb-sl-role-creation20201111230214431700000001,-
iam-policy,global,arn:aws:iam::695020642224:policy/SNS-MFA-Publish-Policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/data-science,-
iam-policy,global,arn:aws:iam::695020642224:policy/external_dns.stage.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/alb-ingress-policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaS3ExecutionRole-48e3c929-f65b-40f5-8c7e-98d21e6ddbb3,-
iam-policy,global,arn:aws:iam::695020642224:policy/alb_ingress.stage.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/ecr_for_k8s.stage.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/aws-iot-role-s3GetObjects_648323184,-
iam-policy,global,arn:aws:iam::695020642224:policy/policygen-201506031801-EB-ROLE,-
iam-policy,global,arn:aws:iam::695020642224:policy/IOT_Allow_All_Policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-1bf591fc-d827-44a0-a3d7-e3fc0c0f9c02,-
iam-policy,global,arn:aws:iam::695020642224:policy/datascience_s3_access,-
iam-policy,global,arn:aws:iam::695020642224:policy/kinetic-aws-batch-s3-policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/kinetic-nerf-herder-s3-access,-
iam-policy,global,arn:aws:iam::695020642224:policy/ecr_for_k8s.prod.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/AWSCloudFormationFullAccess,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-2094fe34-b610-4010-b80e-67e158d7e352,-
iam-policy,global,arn:aws:iam::695020642224:policy/s3-wearkinetic-write,-
iam-policy,global,arn:aws:iam::695020642224:policy/LambdaIAMManagement,-
iam-policy,global,arn:aws:iam::695020642224:policy/KubeExternalDNS,-
iam-policy,global,arn:aws:iam::695020642224:policy/alb_ingress.prod.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaSQSPollerExecutionRole-83496004-a49a-449f-bdd3-05aca908b75a,-
iam-policy,global,arn:aws:iam::695020642224:policy/AmazonS3FullAccess-201708101417,-
iam-policy,global,arn:aws:iam::695020642224:policy/external_dns.prod.wearkinetic.com,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-19cd07f7-5f91-44e8-ab67-ec4b397ec7d2,-
iam-policy,global,arn:aws:iam::695020642224:policy/aviatrix-app-policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/datascience_instance_control,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaMicroserviceExecutionRole-8a5e9565-0257-41b0-9ae8-fa836e869287,-
iam-policy,global,arn:aws:iam::695020642224:policy/VaultUserPolicy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/aws-iot-role-sqsSend_1110675041,-
iam-policy,global,arn:aws:iam::695020642224:policy/aviatrix-assume-role-policy,-
iam-policy,global,arn:aws:iam::695020642224:policy/service-role/AWSLambdaBasicExecutionRole-711d5c5f-b0ef-405f-bea6-85e95858be24,-
iam-role,global,ab-test-ct-reprocessor-role-lz4z43iq,-
iam-role,global,abdul-wsl-kinetic-admin-CustomResourceHandlerServic-tRInwArDppal,-
iam-role,global,abdul-wsl-kinetic-aggrcsv-aggrEmployeeDailyActivity-8TxHH32D8LAh,-
iam-role,global,abdul-wsl-kinetic-aggrcsv-CustomResourceHandlerServ-1UlRXTXTOqeS,-
iam-role,global,abdul-wsl-kinetic-aggrcsv-getWorkersForActivityCsvS-ZcBgmOyUuvst,-
iam-role,global,abdul-wsl-kinetic-aggrcsv-setAggrEmployeeDailyActiv-ozHMjQ0Q9Pbb,-
iam-role,global,abdul-wsl-kinetic-artw-BucketNotificationsHandler05-ZcldhmRZlHVY,-
iam-role,global,abdul-wsl-kinetic-artw-CustomResourceHandlerService-pUvXdHfglT6H,-
iam-role,global,abdul-wsl-kinetic-artw-CustomS3AutoDeleteObjectsCus-2pXMtDajRiig,-
iam-role,global,abdul-wsl-kinetic-artw-restrictionUploadedHandlerSe-Q3n7e57nu08Q,-
iam-role,global,abdul-wsl-kinetic-audit-AuditLogStreamEventsRoleC9C-Dle9go3CzgWo,-
iam-role,global,abdul-wsl-kinetic-audit-AuditRole88E97C2A-Z7fjF0ul9rNM,-
iam-role,global,abdul-wsl-kinetic-audit-CustomResourceHandlerServic-GYmIQFm94PHc,-
iam-role,global,abdul-wsl-kinetic-audit-CustomS3AutoDeleteObjectsCu-aVFm6bP3OWbV,-
iam-role,global,abdul-wsl-kinetic-auth-CustomResourceHandlerService-2IK9rsiS1B58,-
iam-role,global,abdul-wsl-kinetic-backend-ApiV1ApiCloudWatchRole8DC-c6pqxTSEei6i,-
iam-role,global,abdul-wsl-kinetic-backend-BucketNotificationsHandle-tPE8as82KUzU,-
iam-role,global,abdul-wsl-kinetic-backend-CustomResourceHandlerServ-gYybexxLOFZ2,-
iam-role,global,abdul-wsl-kinetic-backend-CustomS3AutoDeleteObjects-we5vvf4YCVv6,-
iam-role,global,abdul-wsl-kinetic-backend-FunctionServiceRole675BB0-gkFCicr9mKdr,-
iam-role,global,abdul-wsl-kinetic-backend-NotificationNotifyemailSe-U7PG5LTI0Ybd,-
iam-role,global,abdul-wsl-kinetic-cron-aggrEmployeeDailyActivityCsv-H1l28DlCuzGg,-
iam-role,global,abdul-wsl-kinetic-cron-aggrEmployeeWwtJobaggrEmploy-JuwCUlzodXSW,-
iam-role,global,abdul-wsl-kinetic-cron-aggrLocation0wwtJobaggrLocat-6Le0VeDYzQ2E,-
iam-role,global,abdul-wsl-kinetic-cron-aggrLocationWwtJobaggrLocati-ou3PBJNzFGaa,-
iam-role,global,abdul-wsl-kinetic-cron-aggrWorkerLastActiveJobaggrW-XlNNIsM7kWE9,-
iam-role,global,abdul-wsl-kinetic-cron-cleanupGoalTableJobcleanupGo-hkxnslNfb96z,-
iam-role,global,abdul-wsl-kinetic-cron-CustomResourceHandlerService-1FxMMXYPJC2Q,-
iam-role,global,abdul-wsl-kinetic-cron-firmwareUpgradeCronJobfirmwa-6c2VyVyHjKp1,-
iam-role,global,abdul-wsl-kinetic-cron-iotSyncCronJobiotSyncCronSer-9ob8DEbq9AoF,-
iam-role,global,abdul-wsl-kinetic-cron-wornDevicesRankingJobwornDev-76lNsk6Can8R,-
iam-role,global,abdul-wsl-kinetic-data-CustomResourceHandlerService-pWqWVm5448GI,-
iam-role,global,abdul-wsl-kinetic-data-dataapiapiLambdaPOSTproxySer-48haNdrt1zfD,-
iam-role,global,abdul-wsl-kinetic-data-dataapiMetricsActivityLoadSf-kqYRa6lczAp8,-
iam-role,global,abdul-wsl-kinetic-data-MetricsActivityLoadFn2Servic-pIny87iPqRRM,-
iam-role,global,abdul-wsl-kinetic-data-MetricsActivityLoadFnService-vFwxOHKjBby6,-
iam-role,global,abdul-wsl-kinetic-data-MetricsActivityLoadStateMach-PWKe8XDLhOAy,-
iam-role,global,abdul-wsl-kinetic-databas-CustomResourceHandlerServ-TBOIQhstq7SS,-
iam-role,global,abdul-wsl-kinetic-databas-migratorServiceRoleEAEA65-ArOUZ2tP9TIi,-
iam-role,global,abdul-wsl-kinetic-DNS-CustomResourceHandlerServiceR-jKc0PZ3z6NXS,-
iam-role,global,abdul-wsl-kinetic-dns-CustomResourceHandlerServiceR-Td022wkHZykQ,-
iam-role,global,abdul-wsl-kinetic-docusig-CustomResourceHandlerServ-ZYCXgUvUXGTq,-
iam-role,global,abdul-wsl-kinetic-docusig-docuconnectLambdaPOSTprox-4QCTBaShCx1F,-
iam-role,global,abdul-wsl-kinetic-export-concatFilesFnServiceRole1D-VzfhwrOrVRtz,-
iam-role,global,abdul-wsl-kinetic-export-CustomResourceHandlerServi-P0nJsNmDrqvj,-
iam-role,global,abdul-wsl-kinetic-export-ExportEmployeeActivityFnSe-1km5Fottvrle,-
iam-role,global,abdul-wsl-kinetic-export-ExportEmployeeActivityStat-IUGfhS0syRTe,-
iam-role,global,abdul-wsl-kinetic-export-ExportEmployeeDailyActivit-bwZLSX4cHGIl,-
iam-role,global,abdul-wsl-kinetic-export-ExportEmployeeDailyActivit-mfzLhwSrMd1f,-
iam-role,global,abdul-wsl-kinetic-gluecon-CustomResourceHandlerServ-2gyZiBIz7OSt,-
iam-role,global,abdul-wsl-kinetic-iot-CustomResourceHandlerServiceR-3AvsmSrBgVp2,-
iam-role,global,abdul-wsl-kinetic-locatio-CustomResourceHandlerServ-gQ0ufCzeHKOc,-
